"Proportion of people 15 years and over who were current daily smokers by age and sex, 2022"
,"Males (%)","95% confidence interval (%) (low)","95% confidence interval (%) (high)","Females (%)","95% confidence interval (%) (low)","95% confidence interval (%) (high)"
"15–17(a)","1.2",,,"1.8",,
"18–24","9.3","6.4","12.2","5.9","2.4","9.4"
"25–34","13.4","10.2","16.6","8.8","6.5","11.1"
"35–44","13.5","10.5","16.5","8.5","6.5","10.5"
"45–54","15.3","12.3","18.3","11.6","8.5","14.7"
"55–64","17.4","13.8","21.0","12.0","10.3","13.7"
"65–74","9.9","7.4","12.4","7.9","5.8","10.0"
"75 years and over","3.8","1.1","6.5","1.9","0.7","3.1"

"a. The proportion for 15-17 years old has a high margin of error and should be used with caution."

"Source: Australian Bureau of Statistics, Smoking and vaping 2022"
