frequency,age_group,proportion
Once (1 day),14–17,13.4
Once (1 day),18–24,13.7
Once (1 day),25–29,21.8
Once (1 day),30–39,19.6
Once (1 day),40–49,16.5
Once (1 day),50–59,8.8
Once (1 day),60+,8.8
Once (1 day),14+,16.4
Every couple of weeks (2–3 days),14–17,30.9
Every couple of weeks (2–3 days),18–24,18.7
Every couple of weeks (2–3 days),25–29,16.2
Every couple of weeks (2–3 days),30–39,10.7
Every couple of weeks (2–3 days),40–49,10.5
Every couple of weeks (2–3 days),50–59,10.0
Every couple of weeks (2–3 days),60+,5.9
Every couple of weeks (2–3 days),14+,15.4
Once or twice a week (4–10 days),14–17,13.2
Once or twice a week (4–10 days),18–24,18.3
Once or twice a week (4–10 days),25–29,17.6
Once or twice a week (4–10 days),30–39,16.3
Once or twice a week (4–10 days),40–49,22.9
Once or twice a week (4–10 days),50–59,19.7
Once or twice a week (4–10 days),60+,16.5
Once or twice a week (4–10 days),14+,17.9
A few days per week (11–21 days),14–17,9.6
A few days per week (11–21 days),18–24,13.5
A few days per week (11–21 days),25–29,7.6
A few days per week (11–21 days),30–39,8.6
A few days per week (11–21 days),40–49,11.3
A few days per week (11–21 days),50–59,9.8
A few days per week (11–21 days),60+,14.4
A few days per week (11–21 days),14+,11.2
Most days per week (22–29 days),14–17,9.9
Most days per week (22–29 days),18–24,9.6
Most days per week (22–29 days),25–29,6.8
Most days per week (22–29 days),30–39,10.8
Most days per week (22–29 days),40–49,8.8
Most days per week (22–29 days),50–59,5.3
Most days per week (22–29 days),60+,4.5
Most days per week (22–29 days),14+,8.9
Every day (30 days),14–17,23.0
Every day (30 days),18–24,26.2
Every day (30 days),25–29,29.9
Every day (30 days),30–39,34.0
Every day (30 days),40–49,30.1
Every day (30 days),50–59,36.3
Every day (30 days),60+,49.9
Every day (30 days),14+,30.4

